"node","eqn"
"A1_ALPHA2","((1 * fAct(GAL11, 0.408142132172361, 1.79729779304471)) * 1 - 1 * A1_ALPHA2) / 1"
"ABF1","input gene"
"ACE2","input gene"
"ADR1","input gene"
"ALPHA1","((((1 - 1 * fAct(TUP1, 0.478926570154727, 1.48534448833903)) + (1 * fAct(GAL11, 0.424795030523092, 1.49548751271097) * 1 * fAct(SNF2_SWI1, 0.494347685342655, 1.49607532163383)) - (1 - 1 * fAct(TUP1, 0.478926570154727, 1.48534448833903)) * (1 * fAct(GAL11, 0.424795030523092, 1.49548751271097) * 1 * fAct(SNF2_SWI1, 0.494347685342655, 1.49607532163383)))) * 1 - 1 * ALPHA1) / 1"
"ALPHA2","((1 * fAct(GAL11, 0.417590837320313, 1.40025647648377)) * 1 - 1 * ALPHA2) / 1"
"ASH1","((1 * fAct(SWI5, 0.48925634115003, 1.42979728790699)) * 1 - 1 * ASH1) / 1"
"CAF16","input gene"
"CAF4","input gene"
"CAT8","input gene"
"CBF1","input gene"
"CCR4","(((1 - 1 * fAct(SPT6, 0.585301975859329, 1.4182059883629))) * 1 - 1 * CCR4) / 1"
"CDC36","input gene"
"CDC39","input gene"
"CDC50","input gene"
"CHA4","input gene"
"CIN5","input gene"
"CRZ1","input gene"
"CUP2","input gene"
"DAL80","((((1 * fAct(GLN3, 0.41631777798757, 1.72708278447855) * 1 * fAct(GAT1, 0.440072636771947, 1.5700099824788)) * (1 - 1 * fAct(DAL80_GZF3, 0.561402943590656, 1.61334311592625)))) * 1 - 1 * DAL80) / 1"
"DAL80_GZF3","(((1 * fAct(GLN3, 0.51902209110558, 1.51768847172847) * 1 * fAct(GAT1, 0.555033928714693, 1.55835481647635))) * 1 - 1 * DAL80_GZF3) / 1"
"DAL81","input gene"
"FKH2","input gene"
"FLO8","input gene"
"GAL11","input gene"
"GAL4","input gene"
"GAT1","(((1 * fAct(GLN3, 0.440405684150755, 1.45176706454018) * (1 - 1 * fAct(DAL80, 0.467257095128298, 1.73437306068139)))) * 1 - 1 * GAT1) / 1"
"GIS1","input gene"
"GLN3","input gene"
"HAL9","input gene"
"HAP1","input gene"
"HAP2","input gene"
"HAP4","((1 * fAct(SNF2_SWI1, 0.489769665477797, 1.58410778031219)) * 1 - 1 * HAP4) / 1"
"HDA1","input gene"
"IME1","(((((1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) + (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094)) - (1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) * (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094))) + ((1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) + (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469)) - (1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) * (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469))) - ((1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) + (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094)) - (1 - 1 * fAct(TUP1, 0.523200325248763, 1.43303599392297)) * (1 * fAct(IME4, 0.582922378415242, 1.66387398123741) * 1 * fAct(RIM101, 0.58840044378303, 1.64065293827094))) * ((1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) + (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469)) - (1 - 1 * fAct(RME1, 0.570710456650704, 1.76083944331389)) * (1 - 1 * fAct(IME1_UME6, 0.592188944248483, 1.53421386339469))))) * 1 - 1 * IME1) / 1"
"IME4","input gene"
"INO2","(((1 * fAct(UME6, 0.41439627003856, 1.55551468151156) * 1 * fAct(INO2_INO4, 0.579065960878506, 1.46183082838776))) * 1 - 1 * INO2) / 1"
"INO2_INO4","((1 * fAct(UME6, 0.438519080216065, 1.76779175380012)) * 1 - 1 * INO2_INO4) / 1"
"INO4","input gene"
"IXR1","input gene"
"LEU3","input gene"
"MAC1","input gene"
"MCM1","((1 * fAct(SNF2_SWI1, 0.512265477608889, 1.74703971097246)) * 1 - 1 * MCM1) / 1"
"MET4","input gene"
"MOT3","input gene"
"MSN1","input gene"
"MTH1","((1 * fAct(GAL4, 0.597826851578429, 1.66295876816381)) * 1 - 1 * MTH1) / 1"
"NRG1","input gene"
"PHO2","input gene"
"PHO23","input gene"
"PHO4","input gene"
"POP2","input gene"
"RAP1","((1 * fAct(REB1, 0.515985942399129, 1.67883182815742)) * 1 - 1 * RAP1) / 1"
"REB1","input gene"
"RFX1","input gene"
"RGT1","input gene"
"RIM101","input gene"
"RME1","(((((1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) + ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873)) - (1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) * ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873))) + (1 - 1 * fAct(TUP1, 0.501031537540257, 1.66632901664125)) - ((1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) + ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873)) - (1 - 1 * fAct(UME6, 0.450752911856398, 1.66269753784873)) * ((1 * fAct(ACE2, 0.445982483727857, 1.6009772796277) * 1 * fAct(SIN3, 0.454754902189598, 1.4500708463043)) * 1 * fAct(SWI5, 0.525321142841131, 1.39077332096873))) * (1 - 1 * fAct(TUP1, 0.501031537540257, 1.66632901664125)))) * 1 - 1 * RME1) / 1"
"ROX1","((((1 - 1 * fAct(TUP1, 0.403029022272676, 1.57440791471163)) + 1 * fAct(HAP1, 0.560770230181515, 1.73200784488581) - (1 - 1 * fAct(TUP1, 0.403029022272676, 1.57440791471163)) * 1 * fAct(HAP1, 0.560770230181515, 1.73200784488581))) * 1 - 1 * ROX1) / 1"
"RPH1","input gene"
"RTG1_RTG3","input gene"
"RTG2","input gene"
"RTG3","input gene"
"SDS3","input gene"
"SIN3","input gene"
"SIP4","input gene"
"SKO1","input gene"
"SNF2","input gene"
"SNF5","input gene"
"SNF6","input gene"
"SPT16","input gene"
"SPT21","input gene"
"SPT4","input gene"
"SPT5","input gene"
"SPT6","input gene"
"SRB7","input gene"
"SSN6","input gene"
"SUM1","input gene"
"SWI1","((1 * fAct(SIN3, 0.455851716408506, 1.72993359957123)) * 1 - 1 * SWI1) / 1"
"SWI3","input gene"
"SWI4","((1 * fAct(SPT16, 0.431523470208049, 1.42025888268137)) * 1 - 1 * SWI4) / 1"
"SWI4_SWI6","((1 * fAct(SPT16, 0.43266982329078, 1.43826548923738)) * 1 - 1 * SWI4_SWI6) / 1"
"SWI5","(((1 * fAct(MCM1, 0.493881595274433, 1.7313126056944) * 1 * fAct(REB1, 0.461949386075139, 1.43555937594036))) * 1 - 1 * SWI5) / 1"
"TAF90","input gene"
"THI2","input gene"
"TUP1","input gene"
"UGA3","input gene"
"UME6","input gene"
"XBP1","input gene"
"YAP6","input gene"
"ARG80_ARG81","input gene"
"DAL81_DAL82","input gene"
"GCR1_GCR2","input gene"
"HDA1_TUP1","input gene"
"IME1_UME6","((((1 * fAct(RIM101, 0.471535877371207, 1.56765180432238) * 1 * fAct(IME4, 0.531310463463888, 1.39586248180829)) * (1 - 1 * fAct(RME1, 0.486515694018453, 1.47940134063596)))) * 1 - 1 * IME1_UME6) / 1"
"SNF2_SWI1","((1 * fAct(SIN3, 0.429324327595532, 1.51342947108205)) * 1 - 1 * SNF2_SWI1) / 1"
"SSN6_TUP1","input gene"
"FUS1","(((1 * fAct(SIN3, 0.458335431851447, 1.67120031509083) * (((1 - 1 * fAct(A1_ALPHA2, 0.459129327023402, 1.57572475729743)) + (1 - 1 * fAct(CDC36, 0.588340859021991, 1.50772969665006)) - (1 - 1 * fAct(A1_ALPHA2, 0.459129327023402, 1.57572475729743)) * (1 - 1 * fAct(CDC36, 0.588340859021991, 1.50772969665006))) + (1 - 1 * fAct(CDC39, 0.439950171811506, 1.68370062744943)) - ((1 - 1 * fAct(A1_ALPHA2, 0.459129327023402, 1.57572475729743)) + (1 - 1 * fAct(CDC36, 0.588340859021991, 1.50772969665006)) - (1 - 1 * fAct(A1_ALPHA2, 0.459129327023402, 1.57572475729743)) * (1 - 1 * fAct(CDC36, 0.588340859021991, 1.50772969665006))) * (1 - 1 * fAct(CDC39, 0.439950171811506, 1.68370062744943))))) * 1 - 1 * FUS1) / 1"
"ACS1","((((1 - 1 * fAct(UME6, 0.523024471988901, 1.71743161445716)) + ((1 * fAct(ABF1, 0.517533810576424, 1.67893487344496) * 1 * fAct(ADR1, 0.430963053973392, 1.73021918006241)) * 1 * fAct(CAT8, 0.572578296344727, 1.70007257055491)) - (1 - 1 * fAct(UME6, 0.523024471988901, 1.71743161445716)) * ((1 * fAct(ABF1, 0.517533810576424, 1.67893487344496) * 1 * fAct(ADR1, 0.430963053973392, 1.73021918006241)) * 1 * fAct(CAT8, 0.572578296344727, 1.70007257055491)))) * 1 - 1 * ACS1) / 1"
"ADH1","((((1 * fAct(RAP1, 0.445904183667153, 1.56500755796675) * ((1 * fAct(ABF1, 0.468870301870629, 1.72989276860608) * 1 * fAct(ADR1, 0.542473523039371, 1.63213677936699)) * 1 * fAct(SNF6, 0.58173959958367, 1.60254128708271))) * ((((1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) + (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479)) - (1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) * (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479))) + (1 - 1 * fAct(CCR4, 0.44083837880753, 1.79022007821128)) - ((1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) + (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479)) - (1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) * (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479))) * (1 - 1 * fAct(CCR4, 0.44083837880753, 1.79022007821128))) + (1 - 1 * fAct(POP2, 0.440591056505218, 1.63587107262341)) - (((1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) + (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479)) - (1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) * (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479))) + (1 - 1 * fAct(CCR4, 0.44083837880753, 1.79022007821128)) - ((1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) + (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479)) - (1 - 1 * fAct(CAF16, 0.535577893117443, 1.60485587680014)) * (1 - 1 * fAct(CAF4, 0.588922777073458, 1.6974156131479))) * (1 - 1 * fAct(CCR4, 0.44083837880753, 1.79022007821128))) * (1 - 1 * fAct(POP2, 0.440591056505218, 1.63587107262341))))) * 1 - 1 * ADH1) / 1"
"CDC19","((((1 - 1 * fAct(UME6, 0.531288218637928, 1.58068384013604)) + (((1 * fAct(ABF1, 0.498621141258627, 1.51388207071228) * 1 * fAct(RAP1, 0.503525858046487, 1.64439810515381)) * 1 * fAct(REB1, 0.562247457774356, 1.64961613641819)) * 1 * fAct(GCR1_GCR2, 0.586191481770948, 1.40792798093986)) - (1 - 1 * fAct(UME6, 0.531288218637928, 1.58068384013604)) * (((1 * fAct(ABF1, 0.498621141258627, 1.51388207071228) * 1 * fAct(RAP1, 0.503525858046487, 1.64439810515381)) * 1 * fAct(REB1, 0.562247457774356, 1.64961613641819)) * 1 * fAct(GCR1_GCR2, 0.586191481770948, 1.40792798093986)))) * 1 - 1 * CDC19) / 1"
"COX6","(((1 * fAct(ABF1, 0.419616215024143, 1.49022583554033) * (1 - 1 * fAct(SSN6, 0.582943389704451, 1.67523085464723)))) * 1 - 1 * COX6) / 1"
"DED1","((1 * fAct(ABF1, 0.46934065753594, 1.73848384496057)) * 1 - 1 * DED1) / 1"
"PGK1","(((1 * fAct(RAP1, 0.554134329175577, 1.59335648716427) * (1 * fAct(ABF1, 0.550187340704724, 1.62763780919136) * 1 * fAct(GCR1_GCR2, 0.490979318134487, 1.45505871785339)))) * 1 - 1 * PGK1) / 1"
"POT1","((((1 - 1 * fAct(UME6, 0.417320730816573, 1.78562656704336)) + (1 * fAct(ABF1, 0.549536385200918, 1.53243530431297) * 1 * fAct(ADR1, 0.482520525157452, 1.57794343893183)) - (1 - 1 * fAct(UME6, 0.417320730816573, 1.78562656704336)) * (1 * fAct(ABF1, 0.549536385200918, 1.53243530431297) * 1 * fAct(ADR1, 0.482520525157452, 1.57794343893183)))) * 1 - 1 * POT1) / 1"
"QCR8","(((1 * fAct(ABF1, 0.556717607192695, 1.74991793813882) * (1 - 1 * fAct(CBF1, 0.434469830803573, 1.44773564741481)))) * 1 - 1 * QCR8) / 1"
"RPL4A","((1 * fAct(ABF1, 0.522145529882982, 1.6136160309962)) * 1 - 1 * RPL4A) / 1"
"RPL4B","((1 * fAct(ABF1, 0.485640979558229, 1.4496925653005)) * 1 - 1 * RPL4B) / 1"
"SPR3","(((1 * fAct(ABF1, 0.55235733310692, 1.7164787511644) * (1 - 1 * fAct(SUM1, 0.45512391445227, 1.41172848115675)))) * 1 - 1 * SPR3) / 1"
"TUB2","((1 * fAct(ABF1, 0.581258315080777, 1.45781049891142)) * 1 - 1 * TUB2) / 1"
"CDC6","(((1 * fAct(SWI5, 0.47183965742588, 1.71009900999023) * (1 - 1 * fAct(ACE2, 0.584494401002303, 1.75563187834574)))) * 1 - 1 * CDC6) / 1"
"CTS1","(((1 * fAct(SWI5, 0.590099978074431, 1.41154873970198) * ((1 * fAct(ACE2, 0.436841815616936, 1.40551690417109) * 1 * fAct(SNF2, 0.585627051349729, 1.66881364825647)) * 1 * fAct(SWI4_SWI6, 0.515416113613173, 1.75653278779937)))) * 1 - 1 * CTS1) / 1"
"EGT2","(((1 * fAct(SWI5, 0.536683894414455, 1.42555172829889) * 1 * fAct(ACE2, 0.451431533694267, 1.57517244318966))) * 1 - 1 * EGT2) / 1"
"HO","((((1 - 1 * fAct(TUP1, 0.548489772668108, 1.62890634624986)) + (((((((((((1 * fAct(ACE2, 0.540174630703405, 1.77602832799545) * 1 * fAct(CAF16, 0.41021151910536, 1.40941718921997)) * 1 * fAct(CAF4, 0.587465995224193, 1.46610131504014)) * 1 * fAct(PHO2, 0.598943517589942, 1.41186540100723)) * 1 * fAct(SIN3, 0.483752682525665, 1.41854555189842)) * 1 * fAct(SNF5, 0.525324850296602, 1.57592050242936)) * 1 * fAct(SNF6, 0.473817651951686, 1.78956665809732)) * 1 * fAct(SPT16, 0.495824399683625, 1.51214746100595)) * 1 * fAct(SWI3, 0.495155800879002, 1.74024968812242)) * 1 * fAct(SWI4_SWI6, 0.535902303783223, 1.48908994542202)) * 1 * fAct(SWI5, 0.533896270347759, 1.56358050262788)) * 1 * fAct(SNF2_SWI1, 0.546525657363236, 1.7740425913292)) - (1 - 1 * fAct(TUP1, 0.548489772668108, 1.62890634624986)) * (((((((((((1 * fAct(ACE2, 0.540174630703405, 1.77602832799545) * 1 * fAct(CAF16, 0.41021151910536, 1.40941718921997)) * 1 * fAct(CAF4, 0.587465995224193, 1.46610131504014)) * 1 * fAct(PHO2, 0.598943517589942, 1.41186540100723)) * 1 * fAct(SIN3, 0.483752682525665, 1.41854555189842)) * 1 * fAct(SNF5, 0.525324850296602, 1.57592050242936)) * 1 * fAct(SNF6, 0.473817651951686, 1.78956665809732)) * 1 * fAct(SPT16, 0.495824399683625, 1.51214746100595)) * 1 * fAct(SWI3, 0.495155800879002, 1.74024968812242)) * 1 * fAct(SWI4_SWI6, 0.535902303783223, 1.48908994542202)) * 1 * fAct(SWI5, 0.533896270347759, 1.56358050262788)) * 1 * fAct(SNF2_SWI1, 0.546525657363236, 1.7740425913292)))) * 1 - 1 * HO) / 1"
"ADH2","((((1 * fAct(SIN3, 0.436584445927292, 1.45876555016031) * ((((1 * fAct(ADR1, 0.477076826896518, 1.58267985380022) * 1 * fAct(CCR4, 0.436250140843913, 1.54118957708823)) * 1 * fAct(SNF6, 0.541366951726377, 1.39387751102215)) * 1 * fAct(SPT21, 0.492454865714535, 1.67154163433705)) * 1 * fAct(TAF90, 0.492320282617584, 1.39619209835306))) * (1 - 1 * fAct(SPT6, 0.444161980459467, 1.6635883069085)))) * 1 - 1 * ADH2) / 1"
"CTA1","((((1 - 1 * fAct(UME6, 0.516790927527472, 1.50812087972183)) + 1 * fAct(ADR1, 0.599834804376587, 1.48713330007624) - (1 - 1 * fAct(UME6, 0.516790927527472, 1.50812087972183)) * 1 * fAct(ADR1, 0.599834804376587, 1.48713330007624))) * 1 - 1 * CTA1) / 1"
"FOX2","((((1 - 1 * fAct(UME6, 0.585647422773764, 1.64872144994326)) + 1 * fAct(ADR1, 0.417238345462829, 1.72455516783055) - (1 - 1 * fAct(UME6, 0.585647422773764, 1.64872144994326)) * 1 * fAct(ADR1, 0.417238345462829, 1.72455516783055))) * 1 - 1 * FOX2) / 1"
"GUT1","(((1 * fAct(INO2_INO4, 0.459895844291896, 1.68093771960353) * 1 * fAct(ADR1, 0.555187552282587, 1.44563343597343))) * 1 - 1 * GUT1) / 1"
"PEX1","((((1 - 1 * fAct(UME6, 0.597702919319272, 1.52185269597685)) + 1 * fAct(ADR1, 0.571880422951654, 1.55018635444343) - (1 - 1 * fAct(UME6, 0.597702919319272, 1.52185269597685)) * 1 * fAct(ADR1, 0.571880422951654, 1.55018635444343))) * 1 - 1 * PEX1) / 1"
"MFALPHA1","((((1 - 1 * fAct(TUP1, 0.553918928001076, 1.55323681012727)) + ((1 * fAct(ALPHA1, 0.43883257410489, 1.78776814183919) * 1 * fAct(GAL11, 0.563588117528707, 1.75749338339781)) * 1 * fAct(MCM1, 0.486004059808329, 1.49682110767113)) - (1 - 1 * fAct(TUP1, 0.553918928001076, 1.55323681012727)) * ((1 * fAct(ALPHA1, 0.43883257410489, 1.78776814183919) * 1 * fAct(GAL11, 0.563588117528707, 1.75749338339781)) * 1 * fAct(MCM1, 0.486004059808329, 1.49682110767113)))) * 1 - 1 * MFALPHA1) / 1"
"STE3","(((1 * fAct(SNF2_SWI1, 0.432995227491483, 1.6343530541542) * (1 * fAct(ALPHA1, 0.420347125548869, 1.54317274748813) * 1 * fAct(MCM1, 0.435711656790227, 1.51656574142165)))) * 1 - 1 * STE3) / 1"
"STE6","((((((1 * fAct(MCM1, 0.491280582267791, 1.40612361428561) * 1 * fAct(SDS3, 0.535699983965605, 1.62317330085207)) * 1 * fAct(SIN3, 0.581774493586272, 1.4372719815094)) * 1 * fAct(SWI1, 0.571044185850769, 1.44982493206393)) * ((1 - 1 * fAct(ALPHA2, 0.455949167208746, 1.62548409849405)) + (1 - 1 * fAct(TUP1, 0.572846058150753, 1.57793595320079)) - (1 - 1 * fAct(ALPHA2, 0.455949167208746, 1.62548409849405)) * (1 - 1 * fAct(TUP1, 0.572846058150753, 1.57793595320079))))) * 1 - 1 * STE6) / 1"
"MUC1","((((1 * fAct(ASH1, 0.593318044999614, 1.69759435894899) * 1 * fAct(FLO8, 0.589820357458666, 1.79026530007599)) * 1 * fAct(MSN1, 0.444921590434387, 1.73742535063997))) * 1 - 1 * MUC1) / 1"
"FKS1","(((1 * fAct(CAF4, 0.469478760100901, 1.70026844159933) * 1 * fAct(CAF16, 0.503106941422448, 1.65625714647351))) * 1 - 1 * FKS1) / 1"
"GAL1","((((((((1 * fAct(GAL11, 0.599712953390554, 1.53620959688211) * 1 * fAct(GAL4, 0.472533186664805, 1.78914664173499)) * 1 * fAct(REB1, 0.410126036964357, 1.53776718843263)) * 1 * fAct(SNF2, 0.447169198608026, 1.4744953246112)) * 1 * fAct(SNF6, 0.526778570236638, 1.45108516357606)) * 1 * fAct(SRB7, 0.547707619704306, 1.71418197200168)) + (((1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) + (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165)) - (1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) * (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165))) + (1 - 1 * fAct(HDA1_TUP1, 0.563521691644564, 1.65590451324126)) - ((1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) + (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165)) - (1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) * (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165))) * (1 - 1 * fAct(HDA1_TUP1, 0.563521691644564, 1.65590451324126))) - (((((1 * fAct(GAL11, 0.599712953390554, 1.53620959688211) * 1 * fAct(GAL4, 0.472533186664805, 1.78914664173499)) * 1 * fAct(REB1, 0.410126036964357, 1.53776718843263)) * 1 * fAct(SNF2, 0.447169198608026, 1.4744953246112)) * 1 * fAct(SNF6, 0.526778570236638, 1.45108516357606)) * 1 * fAct(SRB7, 0.547707619704306, 1.71418197200168)) * (((1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) + (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165)) - (1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) * (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165))) + (1 - 1 * fAct(HDA1_TUP1, 0.563521691644564, 1.65590451324126)) - ((1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) + (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165)) - (1 - 1 * fAct(CAF4, 0.437696281401441, 1.40336287444457)) * (1 - 1 * fAct(TUP1, 0.492532643862069, 1.51595228253165))) * (1 - 1 * fAct(HDA1_TUP1, 0.563521691644564, 1.65590451324126))))) * 1 - 1 * GAL1) / 1"
"CAT5","((1 * fAct(CAT8, 0.583770397305489, 1.44999373326078)) * 1 - 1 * CAT5) / 1"
"IDP2","(((1 - 1 * fAct(CAT8, 0.576454478502274, 1.44175670839613))) * 1 - 1 * IDP2) / 1"
"JEN1","(((1 - 1 * fAct(CAT8, 0.534602288389578, 1.59134623231133))) * 1 - 1 * JEN1) / 1"
"MDH2","(((1 * fAct(CAT8, 0.452490839315578, 1.43746818914777) * 1 * fAct(SIP4, 0.444835611898452, 1.55065760563593))) * 1 - 1 * MDH2) / 1"
"CYT1","(((1 * fAct(CBF1, 0.488211535150185, 1.59225464114686) * 1 * fAct(HAP1, 0.559468323737383, 1.40313175115036))) * 1 - 1 * CYT1) / 1"
"GAL2","(((1 * fAct(GAL4, 0.579555850289762, 1.75901715737535) * (1 * fAct(CBF1, 0.463611209671944, 1.52367811750853) * 1 * fAct(GAL11, 0.563110675709322, 1.68495963544352)))) * 1 - 1 * GAL2) / 1"
"MET14","(((1 * fAct(CBF1, 0.527610241947696, 1.52466199689312) * (1 * fAct(MET4, 0.442849988210946, 1.6755229503219) * 1 * fAct(PHO4, 0.442520337039605, 1.58526041841367)))) * 1 - 1 * MET14) / 1"
"MET16","(((1 * fAct(CBF1, 0.591290054051205, 1.6633350344724) * 1 * fAct(MET4, 0.416068752575666, 1.44307803008705))) * 1 - 1 * MET16) / 1"
"MET17","(((1 * fAct(MET4, 0.420327959489077, 1.79761512562865) * (1 - 1 * fAct(CBF1, 0.468116827215999, 1.63005635193083)))) * 1 - 1 * MET17) / 1"
"MET28","((((1 - 1 * fAct(CBF1, 0.458249124791473, 1.76920877480181)) + (1 - 1 * fAct(MET4, 0.427044991590083, 1.59092797337798)) - (1 - 1 * fAct(CBF1, 0.458249124791473, 1.76920877480181)) * (1 - 1 * fAct(MET4, 0.427044991590083, 1.59092797337798)))) * 1 - 1 * MET28) / 1"
"MET8","((1 * fAct(CBF1, 0.418421241315082, 1.47317387347575)) * 1 - 1 * MET8) / 1"
"SAM2","((1 * fAct(CBF1, 0.424347308883444, 1.4471589127765)) * 1 - 1 * SAM2) / 1"
"TRP1","((1 * fAct(CBF1, 0.585533192986622, 1.39408423507353)) * 1 - 1 * TRP1) / 1"
